UID wynajmu,Numer roweru,Data wynajmu,Data zwrotu,Stacja wynajmu,Stacja zwrotu,Czas trwania
112514205,650093,2021-03-04 05:42:46,2021-03-04 05:50:27,Stacyjna (Dworzec Miko³ajów),M³odych Techników,8
112514227,651002,2021-03-04 05:46:27,2021-03-04 05:53:45,Na Grobli (PWr - Geocentrum),Wyszyñskiego / Szczytnicka,8
112514248,651270,2021-03-04 05:49:31,2021-03-04 05:56:01,Drobnera / Dubois,Plac Koœciuszki (Renoma),7
112514264,651237,2021-03-04 05:51:52,2021-03-04 05:56:25,al. Armii Krajowej / Borowska,Dyrekcyjna / Borowska (Wroclavia),5
112514278,57602,2021-03-04 05:54:01,2021-03-04 05:57:13,Poza stacj¹,M³odych Techników,4
112514238,57901,2021-03-04 05:47:49,2021-03-04 05:58:35,Mi³oszycka / Swojczycka ,3M,11
112514287,650785,2021-03-04 05:55:45,2021-03-04 06:00:30,Skarbowców / Wietrzna,PrzyjaŸni / Karkonoska,5
112514257,57928,2021-03-04 05:50:11,2021-03-04 06:01:55,Dworzec G³ówny ,Wyszyñskiego / Szczytnicka,12
112514311,57268,2021-03-04 05:59:29,2021-03-04 06:02:38,Prochowicka / Dolnobrzeska,Œredzka / Dolnobrzeska ,4
112514308,650433,2021-03-04 05:59:10,2021-03-04 06:04:24,Poza stacj¹,Pilczycka (Stadion Miejski),6
112514357,650039,2021-03-04 06:07:18,2021-03-04 06:12:30,Legnicka / M³odych Techników,Kazimierza Wielkiego (Helios),6
112514300,57395,2021-03-04 05:58:05,2021-03-04 06:15:22,Gorlicka / Litewska,Aleja Kromera,18
112514366,650199,2021-03-04 06:07:44,2021-03-04 06:15:53,"Dworzec G³ówny, po³udnie",al. Armii Krajowej / Borowska,9
112514338,650419,2021-03-04 06:04:11,2021-03-04 06:16:48,Wa³brzyska - pêtla tramwajowa,Poza stacj¹,13
112514436,650573,2021-03-04 06:16:16,2021-03-04 06:16:53,Gliniana / Gajowa,Gliniana / Gajowa,1
112514329,650855,2021-03-04 06:02:18,2021-03-04 06:17:11,"Dworzec G³ówny, po³udnie",Borowska (Uniw. Szpital Kliniczny),15
112514440,57572,2021-03-04 06:16:30,2021-03-04 06:17:54,Aleja Kromera,Aleja Kromera,2
112514362,57470,2021-03-04 06:07:28,2021-03-04 06:18:14,3M,Marca Polo (Olimpia Port),11
112514430,651343,2021-03-04 06:15:23,2021-03-04 06:19:01,Legnicka / M³odych Techników,M³odych Techników,4
112514394,650457,2021-03-04 06:10:44,2021-03-04 06:19:22,Rac³awicka / Rymarska,Wa³brzyska - pêtla tramwajowa,9
112514414,57314,2021-03-04 06:13:20,2021-03-04 06:19:45,Œlê¿na / Kamienna (Uniw. Ekonomiczny),Poza stacj¹,7
112514412,650369,2021-03-04 06:12:59,2021-03-04 06:20:18,Ba³tycka / ¯migrodzka,Kraszewskiego / Trzebnicka,8
112514361,650239,2021-03-04 06:07:28,2021-03-04 06:21:46,Plac Œwiêtego Macieja / Trzebnicka,Poza stacj¹,15
112514431,650787,2021-03-04 06:15:30,2021-03-04 06:23:38,Rondo Reagana,Piaskowa / œw. Ducha,9
112514488,650327,2021-03-04 06:21:24,2021-03-04 06:24:21,Plac Staszica,Plac Staszica,3
112514512,650489,2021-03-04 06:23:50,2021-03-04 06:28:59,Aleja Hallera / Mielecka,Powstañcow Œl¹skich / Aleja Hallera,6
112514258,57601,2021-03-04 05:50:22,2021-03-04 06:29:24,Rogowska/Sukielicka,Aleja Bielany,40
112514449,650480,2021-03-04 06:17:08,2021-03-04 06:31:21,Gliniana / Gajowa,Zaporoska / Grabiszyñska,15
112514529,650020,2021-03-04 06:24:56,2021-03-04 06:34:07,Drobnera / Plac Bema,Poza stacj¹,10
112514559,57946,2021-03-04 06:27:00,2021-03-04 06:35:03,al. Armii Krajowej / Borowska,Borowska (Uniw. Szpital Kliniczny),9
112514475,57863,2021-03-04 06:19:58,2021-03-04 06:35:19,Œwieradowska (Ferio Gaj ),Poza stacj¹,16
112514601,650255,2021-03-04 06:30:51,2021-03-04 06:37:43,Kamienna / Tomaszowska,al. Armii Krajowej / Borowska,7
112514514,650919,2021-03-04 06:23:58,2021-03-04 06:38:58,Piaskowa / œw. Ducha,Legnicka / Zachodnia ,15
112514461,57395,2021-03-04 06:18:23,2021-03-04 06:38:59,Aleja Kromera,Dworzec G³ówny ,21
112514645,651179,2021-03-04 06:34:15,2021-03-04 06:41:06,Dworzec G³ówny ,Œlê¿na / Kamienna (Uniw. Ekonomiczny),7
112514493,650137,2021-03-04 06:21:34,2021-03-04 06:41:35,Grabiszyñska / Stalowa,Œlê¿na / Skierniewicka,21
112514537,57632,2021-03-04 06:25:12,2021-03-04 06:41:58,Plac Staszica,Plac Strzegomski / Poznañska,17
112514597,650608,2021-03-04 06:30:30,2021-03-04 06:42:46,Ko³³¹taja / Podwale,Pereca / Grabiszyñska,13
112514577,650009,2021-03-04 06:28:44,2021-03-04 06:43:42,Bystrzycka / Idzikowskiego,Strzegomska / Estoñska,15
112514634,650193,2021-03-04 06:33:33,2021-03-04 06:43:50,Sienkiewicza / Piastowska,Traugutta / Pu³askiego,11
112514703,57648,2021-03-04 06:38:39,2021-03-04 06:43:53,al. Armii Krajowej / Borowska,Borowska (Uniw. Szpital Kliniczny),6
112514613,57838,2021-03-04 06:32:05,2021-03-04 06:43:57,Powstañców Œl¹skich (Arkady Wroc³awskie),M³odych Techników,12
112514653,651280,2021-03-04 06:34:41,2021-03-04 06:44:46,Bezpieczna / Obornicka,Kamieñskiego / Jutrosiñska,11
112507745,57034,2021-03-03 19:57:37,2021-03-04 06:44:49,Aleja Bielany,Czekoladowa / Wa³brzyska,648
112514657,57212,2021-03-04 06:35:07,2021-03-04 06:45:47,Borowska (Uniw. Szpital Kliniczny),Œlê¿na / Skierniewicka,11
112514793,650373,2021-03-04 06:43:16,2021-03-04 06:46:22,Zaporoska / Grabiszyñska,Plac Legionów,4
112514740,650574,2021-03-04 06:40:07,2021-03-04 06:46:58,al. Poprzeczna / stacja kolejowa,Koszarowa / UWr,7
112514856,57754,2021-03-04 06:46:55,2021-03-04 06:47:33,Legnicka / M³odych Techników,Legnicka / M³odych Techników,1
112514786,57395,2021-03-04 06:42:55,2021-03-04 06:47:37,Dworzec G³ówny ,Plac Legionów,5
112514693,650330,2021-03-04 06:37:51,2021-03-04 06:47:54,Grabiszyñska / Magazynierska (Corte Verona),Kleciñska / Duñska,11
112514830,650826,2021-03-04 06:46:00,2021-03-04 06:47:57,Nyska / Piêkna,Nyska / Piêkna,2
112514735,57540,2021-03-04 06:39:58,2021-03-04 06:48:10,Kamienna / Tomaszowska,Komandorska / Sanocka,9
112514642,651019,2021-03-04 06:33:59,2021-03-04 06:48:14,Fabryczna / Wagonowa,Lotnicza / Na Ostatnim Groszu,15
112514509,57997,2021-03-04 06:23:46,2021-03-04 06:48:32,al. Armii Krajowej / Borowska,Szewska / Kazimierza Wielkiego ,25
112514846,650978,2021-03-04 06:46:36,2021-03-04 06:48:38,Hermanowska / Ko³obrzeska,Hermanowska / Ko³obrzeska,3
112514725,650264,2021-03-04 06:39:37,2021-03-04 06:49:16,Sienkiewicza / Piastowska,Jednoœci Narodowej / Wyszyñskiego,10
112514802,650648,2021-03-04 06:43:57,2021-03-04 06:51:00,Drzewieckiego / Dedala,Legnicka / Wejherowska,8
112514789,57211,2021-03-04 06:43:02,2021-03-04 06:52:44,Sienkiewicza / Piastowska,Jednoœci Narodowej / Wyszyñskiego,10
112514654,57029,2021-03-04 06:34:52,2021-03-04 06:53:00,Kraszewskiego / Trzebnicka,Dworzec G³ówny ,19
112514865,650290,2021-03-04 06:47:11,2021-03-04 06:53:02,Grabiszyñska / Stalowa,Grabiszyñska / Aleja Hallera,6
112514698,650918,2021-03-04 06:38:20,2021-03-04 06:53:40,Zaporoska / Gajowicka,Fabryczna / Wagonowa,16
112514746,651059,2021-03-04 06:40:45,2021-03-04 06:53:41,Tarnogajska / Klimasa,Dyrekcyjna / Borowska (Wroclavia),13
112514771,650920,2021-03-04 06:42:15,2021-03-04 06:54:04,Rakowiecka,Wyszyñskiego / Szczytnicka,12
112514784,650066,2021-03-04 06:42:46,2021-03-04 06:54:35,Poniatowskiego / Oleœnicka,Kazimierza Wielkiego (Helios),12
112514767,651128,2021-03-04 06:42:04,2021-03-04 06:54:49,"Grochowa / Jemio³owa,",Kazimierza Wielkiego (Helios),13
112514879,650330,2021-03-04 06:48:27,2021-03-04 06:54:58,Kleciñska / Duñska,Na Ostatnim Groszu,7
112514948,650803,2021-03-04 06:52:43,2021-03-04 06:55:39,Lotnicza / Metalowców,Lotnicza / Metalowców,3
112514820,57255,2021-03-04 06:45:11,2021-03-04 06:55:44,Sienkiewicza / Wyszyñskiego,Promenady Wroc³awskie,11
112514880,650742,2021-03-04 06:48:28,2021-03-04 06:56:57,Stacyjna (Dworzec Miko³ajów),Plac Jana Paw³a II (Akademia Muzyczna),9
112514915,650473,2021-03-04 06:50:44,2021-03-04 06:57:11,Obornicka / Ba³tycka,Obornicka / Ba³tycka,7
112514794,650983,2021-03-04 06:43:18,2021-03-04 06:58:23,"Dworzec G³ówny, po³udnie",Borowska (Uniw. Szpital Kliniczny),16
112514961,650188,2021-03-04 06:53:42,2021-03-04 06:58:27,Koœciuszki / Pu³askiego,Koœciuszki / Pu³askiego,5
112515018,651162,2021-03-04 06:56:57,2021-03-04 06:59:37,pl. Powstañców Wielkopolskich,Plac Œwiêtego Macieja / Trzebnicka,3
112514958,650557,2021-03-04 06:53:32,2021-03-04 07:00:07,Grabiszyñska / Magazynierska (Corte Verona),¯elazna / Pereca,7
112514860,651357,2021-03-04 06:47:00,2021-03-04 07:00:26,Hermanowska / Ko³obrzeska,Lotnicza / Na Ostatnim Groszu,14
112515000,57061,2021-03-04 06:56:16,2021-03-04 07:01:01,Stacyjna (Dworzec Miko³ajów),Fabryczna / Wagonowa,5
112514986,57150,2021-03-04 06:55:47,2021-03-04 07:01:19,Koœciuszki / Pu³askiego,"Dworzec G³ówny, po³udnie",6
112514933,650022,2021-03-04 06:51:42,2021-03-04 07:01:39,Wróblewskiego (Teki),Janiszewskiego (PWr),10
112514975,651244,2021-03-04 06:54:54,2021-03-04 07:01:40,Koœciuszki / Pu³askiego,Plac Powstañców Warszawy (Muzeum Narodowe),7
112514982,650330,2021-03-04 06:55:30,2021-03-04 07:04:26,Na Ostatnim Groszu,Pilczycka / Kozanowska,9
112514954,57267,2021-03-04 06:53:13,2021-03-04 07:04:28,Plac Powstañców Œl¹skich,Rynek,12
112514897,57469,2021-03-04 06:49:34,2021-03-04 07:04:29,Drzewieckiego / Dedala,Fabryczna / Wagonowa,15
112514945,57474,2021-03-04 06:52:26,2021-03-04 07:05:47,Plac Legionów,Plac Legionów,14
112515199,57795,2021-03-04 07:06:09,2021-03-04 07:06:43,Koœciuszki / Pu³askiego,Koœciuszki / Pu³askiego,1
112515003,57456,2021-03-04 06:56:22,2021-03-04 07:06:51,Lotnicza / Metalowców,Lotnicza / Na Ostatnim Groszu,11
112514463,57900,2021-03-04 06:18:46,2021-03-04 07:07:49,Bacciarellego,Borowska (Uniw. Szpital Kliniczny),50
112515093,57121,2021-03-04 07:00:54,2021-03-04 07:08:21,Nowowiejska / Górnickiego,Nowowiejska / Górnickiego,8
112515083,57235,2021-03-04 07:00:29,2021-03-04 07:08:42,"Dworzec G³ówny, po³udnie",Nyska / Piêkna,9
112515005,57668,2021-03-04 06:56:23,2021-03-04 07:09:43,"Dworzec G³ówny, po³udnie",Plac Powstañców Œl¹skich,14
112514941,651011,2021-03-04 06:52:13,2021-03-04 07:09:51,Popowicka / NiedŸwiedzia ,Wita Stwosza / Szewska,18
112515283,651295,2021-03-04 07:10:57,2021-03-04 07:11:04,Oporów (pêtla tramwajowa),Oporów (pêtla tramwajowa),1
112515127,57678,2021-03-04 07:02:34,2021-03-04 07:11:06,Nyska / Jesionowa,"Dworzec G³ówny, po³udnie",9
112515044,57300,2021-03-04 06:58:05,2021-03-04 07:12:09,Hubska / Prudnicka,Borowska (Uniw. Szpital Kliniczny),15
112497321,57845,2021-03-03 17:09:07,2021-03-04 07:12:44,Poza stacj¹,Poza stacj¹,844
112515178,650202,2021-03-04 07:05:06,2021-03-04 07:12:55,Poza stacj¹,Pilczycka (Stadion Miejski),8
112515215,57816,2021-03-04 07:07:01,2021-03-04 07:13:57,Koœciuszki / Pu³askiego,Plac Dominikañski (Galeria Dominikañska),7
112514872,651196,2021-03-04 06:47:45,2021-03-04 07:14:35,Poza stacj¹,Œlê¿na / Skierniewicka,27
112515154,651324,2021-03-04 07:03:59,2021-03-04 07:14:43,Traugutta / Pu³askiego,Plac Uniwersytecki (UWr),11
112515245,650555,2021-03-04 07:08:59,2021-03-04 07:15:47,Ba³tycka / ¯migrodzka,¯migrodzka / Marino,7
112515108,650354,2021-03-04 07:01:47,2021-03-04 07:16:43,Poniatowskiego / Oleœnicka,Plac Legionów,15
112515276,57116,2021-03-04 07:10:25,2021-03-04 07:17:21,al. Armii Krajowej / Borowska,Œlê¿na / Skierniewicka,7
112515195,651162,2021-03-04 07:05:55,2021-03-04 07:17:37,Plac Œwiêtego Macieja / Trzebnicka,Plac Strzegomski / Poznañska,12
112515149,57872,2021-03-04 07:03:48,2021-03-04 07:18:09,Koœciuszki / Pu³askiego,al. Armii Krajowej / Borowska,15
112515218,650009,2021-03-04 07:07:11,2021-03-04 07:19:00,Strzegomska / Estoñska,Lotnicza / Na Ostatnim Groszu,12
112515198,650353,2021-03-04 07:06:08,2021-03-04 07:19:50,Bacciarellego / pêtla autobusowa,Wróblewskiego (ZOO),14
112515394,651131,2021-03-04 07:15:33,2021-03-04 07:19:50,Poza stacj¹,Plac Dominikañski (Galeria Dominikañska),5
112515230,57150,2021-03-04 07:07:51,2021-03-04 07:20:15,"Dworzec G³ówny, po³udnie",Borowska (Uniw. Szpital Kliniczny),13
112515180,650380,2021-03-04 07:05:14,2021-03-04 07:21:36,Rac³awicka / Rymarska,Powstañców Œl¹skich (Arkady Wroc³awskie),17
112515247,650422,2021-03-04 07:09:00,2021-03-04 07:22:32,Olszewskiego / Spó³dzielcza,Rondo Reagana,14
112515189,650188,2021-03-04 07:05:43,2021-03-04 07:23:15,Koœciuszki / Pu³askiego,Plac Powstañców Œl¹skich,18
112515489,57175,2021-03-04 07:19:19,2021-03-04 07:23:16,Poza stacj¹,Poza stacj¹,4
112515306,57396,2021-03-04 07:11:58,2021-03-04 07:23:40,Oporów (pêtla tramwajowa),Poza stacj¹,12
112515507,650025,2021-03-04 07:19:46,2021-03-04 07:24:10,Rac³awicka / Rymarska,Powstañców Œl¹skich/Orla,5
112515513,650016,2021-03-04 07:20:03,2021-03-04 07:24:37,Plac Dominikañski (Galeria Dominikañska),Rynek,5
112515280,650957,2021-03-04 07:10:41,2021-03-04 07:25:01,Powstañcow Œl¹skich / Aleja Hallera,Borowska (Uniw. Szpital Kliniczny),15
112515472,57872,2021-03-04 07:18:42,2021-03-04 07:25:24,al. Armii Krajowej / Borowska,Borowska (Uniw. Szpital Kliniczny),7
112515255,650759,2021-03-04 07:09:13,2021-03-04 07:25:31,Ko³³¹taja / Podwale,Borowska (Uniw. Szpital Kliniczny),17
112515564,57802,2021-03-04 07:22:23,2021-03-04 07:26:44,Fabryczna / Wagonowa,Œrubowa / Strzegomska,5
112515585,650343,2021-03-04 07:23:17,2021-03-04 07:26:52,Pi³awska,Pi³awska,4
112515381,57055,2021-03-04 07:15:06,2021-03-04 07:28:46,Skarbowców / Wietrzna,Œlê¿na / Skierniewicka,14
112515310,650512,2021-03-04 07:12:06,2021-03-04 07:29:15,Poza stacj¹,Kleciñska (Wroc³aw Grabiszyn),18
112515563,650373,2021-03-04 07:22:22,2021-03-04 07:29:57,Plac Legionów,Dworzec G³ówny ,8
112515361,651124,2021-03-04 07:14:28,2021-03-04 07:30:02,Nyska / Jesionowa,Jagodziñska / Buforowa,16
112515457,650935,2021-03-04 07:18:08,2021-03-04 07:30:02,Zaporoska / Grabiszyñska,Szewska / Kazimierza Wielkiego ,12
112515556,57678,2021-03-04 07:21:56,2021-03-04 07:30:59,"Dworzec G³ówny, po³udnie",Plac Powstañców Œl¹skich,10
112515690,651245,2021-03-04 07:27:15,2021-03-04 07:30:59,Opolska / Siemianowicka,Opolska / pêtla tramwajowa,4
112515600,651390,2021-03-04 07:23:55,2021-03-04 07:31:28,Pi³awska,Poza stacj¹,8
112515502,651331,2021-03-04 07:19:41,2021-03-04 07:31:33,Kamienna / Tomaszowska,Traugutta / Pu³askiego,12
112515671,650079,2021-03-04 07:26:31,2021-03-04 07:31:33,Nowowiejska / Górnickiego,Jednoœci Narodowej / Wyszyñskiego,6
112515541,651360,2021-03-04 07:21:33,2021-03-04 07:31:42,Powstañcow Œl¹skich / Aleja Hallera,Poza stacj¹,11
112515694,650666,2021-03-04 07:27:26,2021-03-04 07:31:45,Prochowicka / Dolnobrzeska,Leœnica - pêtla tramwajowa,5
112515274,651469,2021-03-04 07:10:17,2021-03-04 07:32:15,Krucza / Mielecka / Stalowa,Stacyjna (Dworzec Miko³ajów),22
112515572,57360,2021-03-04 07:22:43,2021-03-04 07:32:31,Rondo Reagana,Drobnera / Plac Bema,10
112515716,651337,2021-03-04 07:28:18,2021-03-04 07:33:14,Œwidnicka / Pi³sudskiego (Hotel Scandic),"Dworzec G³ówny, po³udnie",5
112507058,57884,2021-03-03 19:40:41,2021-03-04 07:33:32,Norwida / Wyspiañskiego (PWr),Koœciuszki / Komuny Paryskiej / Zgodna,713
